date,cum_cases,new_cases,country
20200325,49515,7457,Spain
20200326,57786,8271,Spain
20200327,65719,7933,Spain
20200328,73235,7516,Spain
20200329,80110,6875,Spain
20200215,1,1,Sweden
20200216,1,0,Sweden
20200217,1,0,Sweden
20200218,1,0,Sweden
20200219,1,0,Sweden
20200220,1,0,Sweden
20200221,1,0,Sweden
20200222,1,0,Sweden
20200223,1,0,Sweden
20200224,1,0,Sweden
20200225,1,0,Sweden
20200226,2,1,Sweden
20200227,7,5,Sweden
20200228,11,4,Sweden
20200229,13,2,Sweden
20200301,14,1,Sweden
20200302,15,1,Sweden
20200303,30,15,Sweden
20200304,52,22,Sweden
20200305,94,42,Sweden
20200306,137,43,Sweden
20200307,161,24,Sweden
20200308,203,42,Sweden
20200309,260,57,Sweden
20200310,355,95,Sweden
20200311,500,145,Sweden
20200312,687,187,Sweden
20200313,814,127,Sweden
20200314,961,147,Sweden
20200315,1040,79,Sweden
20200316,1121,81,Sweden
20200317,1196,75,Sweden
20200318,1301,105,Sweden
20200319,1439,138,Sweden
20200320,1639,200,Sweden
20200321,1770,131,Sweden
20200322,1934,164,Sweden
20200323,2046,112,Sweden
20200324,2299,253,Sweden
20200325,2526,227,Sweden
20200326,2840,314,Sweden
20200327,3069,229,Sweden
20200328,3447,378,Sweden
20200329,3700,253,Sweden
20200215,0,0,Switzerland
20200216,0,0,Switzerland
20200217,0,0,Switzerland
20200218,0,0,Switzerland
20200219,0,0,Switzerland
20200220,0,0,Switzerland
20200221,0,0,Switzerland
20200222,0,0,Switzerland
20200223,0,0,Switzerland
20200224,0,0,Switzerland
20200225,1,1,Switzerland
20200226,1,0,Switzerland
20200227,8,7,Switzerland
20200228,15,7,Switzerland
20200229,19,4,Switzerland
20200301,24,5,Switzerland
20200302,30,6,Switzerland
20200303,58,28,Switzerland
20200304,93,35,Switzerland
20200305,120,27,Switzerland
20200306,214,94,Switzerland
20200307,268,54,Switzerland
20200308,332,64,Switzerland
20200309,374,42,Switzerland
20200310,497,123,Switzerland
20200311,652,155,Switzerland
20200312,868,216,Switzerland
20200313,1139,271,Switzerland
20200314,1375,236,Switzerland
20200315,2217,842,Switzerland
20200316,2353,136,Switzerland
20200317,2742,389,Switzerland
20200318,3115,373,Switzerland
20200319,4222,1107,Switzerland
20200320,5615,1393,Switzerland
20200321,6863,1248,Switzerland
20200322,7474,611,Switzerland
20200323,8795,1321,Switzerland
20200324,9877,1082,Switzerland
20200325,10897,1020,Switzerland
20200326,11811,914,Switzerland
20200327,12928,1117,Switzerland
20200328,14076,1148,Switzerland
20200329,14829,753,Switzerland
20200215,0,0,Turkey
20200216,0,0,Turkey
20200217,0,0,Turkey
20200218,0,0,Turkey
20200219,0,0,Turkey
20200220,0,0,Turkey
20200221,0,0,Turkey
20200222,0,0,Turkey
20200223,0,0,Turkey
20200224,0,0,Turkey
20200225,0,0,Turkey
20200226,0,0,Turkey
20200227,0,0,Turkey
20200228,0,0,Turkey
20200229,0,0,Turkey
20200301,0,0,Turkey
20200302,0,0,Turkey
20200303,0,0,Turkey
20200304,0,0,Turkey
20200305,0,0,Turkey
20200306,0,0,Turkey
20200307,0,0,Turkey
20200308,0,0,Turkey
20200309,0,0,Turkey
20200310,1,1,Turkey
20200311,1,0,Turkey
20200312,1,0,Turkey
20200313,5,4,Turkey
20200314,6,1,Turkey
20200315,18,12,Turkey
20200316,47,29,Turkey
20200317,98,51,Turkey
20200318,191,93,Turkey
20200319,359,168,Turkey
20200320,670,311,Turkey
20200321,947,277,Turkey
20200322,1236,289,Turkey
20200323,1529,293,Turkey
20200324,1872,343,Turkey
20200325,2433,561,Turkey
20200326,3629,1196,Turkey
20200327,5698,2069,Turkey
20200328,7402,1704,Turkey
20200329,9217,1815,Turkey
20200215,9,9,Uk
20200216,9,0,Uk
20200217,9,0,Uk
20200218,9,0,Uk
20200219,9,0,Uk
20200220,9,0,Uk
20200221,9,0,Uk
20200222,9,0,Uk
20200223,13,4,Uk
20200224,13,0,Uk
20200225,13,0,Uk
20200226,13,0,Uk
20200227,16,3,Uk
20200228,20,4,Uk
20200229,23,3,Uk
20200301,36,13,Uk
20200302,39,3,Uk
20200303,51,12,Uk
20200304,87,36,Uk
20200305,116,29,Uk
20200306,164,48,Uk
20200307,209,45,Uk
20200308,278,69,Uk
20200309,321,43,Uk
20200310,383,62,Uk
20200311,460,77,Uk
20200312,590,130,Uk
20200313,798,208,Uk
20200314,1140,342,Uk
20200315,1391,251,Uk
20200316,1543,152,Uk
20200317,1950,407,Uk
20200318,2626,676,Uk
20200319,3269,643,Uk
20200320,3983,714,Uk
20200321,5018,1035,Uk
20200322,5683,665,Uk
20200323,6650,967,Uk
20200324,8077,1427,Uk
20200325,9529,1452,Uk
20200326,11658,2129,Uk
20200327,14543,2885,Uk
20200328,17089,2546,Uk
20200329,19522,2433,Uk
20200215,15,15,US
20200216,15,0,US
20200217,15,0,US
20200218,15,0,US
20200219,15,0,US
20200220,15,0,US
20200221,35,20,US
20200222,35,0,US
20200223,35,0,US
20200224,53,18,US
20200225,57,4,US
20200226,60,3,US
20200227,60,0,US
20200228,63,3,US
20200229,68,5,US
20200301,75,7,US
20200302,100,25,US
20200303,124,24,US
20200304,158,34,US
20200305,221,63,US
20200306,319,98,US
20200307,435,116,US
20200308,541,106,US
20200309,704,163,US
20200310,994,290,US
20200311,1301,307,US
20200312,1630,329,US
20200313,2183,553,US
20200314,2770,587,US
20200315,3613,843,US
20200316,4596,983,US
20200317,6344,1748,US
20200318,9197,2853,US
20200319,13779,4582,US
20200320,19367,5588,US
20200321,24192,4825,US
20200322,33592,9400,US
20200323,43781,10189,US
20200324,54856,11075,US
20200325,68211,13355,US
20200326,85435,17224,US
20200327,104126,18691,US
20200328,123578,19452,US
20200329,142460,18882,US
